pooling,dims,cv_macro_f1,test_accuracy,test_macro_f1
mean-pool,384,0.6468621654261928,0.7332429072001808,0.6416681348546025
max-pool,384,0.6386798764624656,0.7256697185486606,0.6345414154801018
concat [mean|max],768,0.6477790890993005,0.7362947891940771,0.6461286780134299
