system,P@5,P@10,MRR
MiniLM-L6 — first chunk only (truncated),0.5923076923076924,0.5576923076923076,0.7618778280542986
MiniLM-L6 — all chunks,0.5846153846153846,0.5884615384615384,0.7645687645687645
BGE-small — first chunk only (truncated),0.6538461538461539,0.5769230769230769,0.8097351366582136
BGE-small — all chunks,0.6461538461538461,0.596153846153846,0.7852564102564101
