model,train_accuracy,test_accuracy,train_macro_f1,test_macro_f1,test_weighted_f1,cv_macro_f1,best_params
Majority-class baseline,0.2904739028456778,0.2904939527523454,0.040925614043469775,0.04092780303693854,0.13078207209836698,,
ComplementNB + TF-IDF,0.7997852318648091,0.7678309031310049,0.6410164393124179,0.584689298302041,0.7459830666546085,0.5743741750459239,{'alpha': 0.1}
TF-IDF + LogisticRegression,0.9733800548223924,0.8229908443540183,0.9740461846844166,0.7482414545710128,0.8233983624348076,0.7363551459073725,{'C': 10.0}
TF-IDF + LinearSVC,0.963941560460056,0.8294337063411326,0.9646242607963322,0.7539989302641016,0.8294746790783185,0.7393470946323858,{'C': 0.5}
BGE-small embeddings + LogisticRegression,0.763274648882358,0.7332429072001808,0.686164102831539,0.6416681348546025,0.7576734785285004,0.6468621654261928,{'C': 10.0}
Union (TF-IDF + embeddings) + LinearSVC,0.963376381156922,0.8305640330055386,0.9642598780264525,0.7531861216396344,0.8307851442856461,0.7449383287880733,{'C': 0.5}
